text,category,severity
"Desks and benches broken, students forced to sit on damp concrete floor in school at Godda.",Education,MEDIUM
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Dhanbad.,Sanitation,MEDIUM
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Gumla.",Environment,HIGH
Water pressure in bathroom taps is very low on upper floors in apartment complex Koderma.,Water Management,LOW
Deforestation and unmonitored hill cutting leading to soil erosion onto roads during monsoons in Godda.,Environment,MEDIUM
Agricultural irrigation feeder canal dry for 30 weeks during critical sowing season in Giridih.,Agriculture,HIGH
ICU backup oxygen cylinder supply failed during power cut in sub-divisional hospital Hazaribagh.,Healthcare,CRITICAL
"Community public RO purification plant in Khunti broken down for 7 weeks, no technician attending.",Water Management,HIGH
"Dangerous potholes covering entire 5 km stretch of Station Road, making emergency ambulance transit impossible.",Urban Infrastructure,HIGH
Severe shortage of water tankers in drought-prone block Godda despite multiple registered complaints.,Water Management,HIGH
Labor room in maternal care clinic Pakur has no running water or sterile equipment.,Healthcare,HIGH
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in Khunti.,Transportation,MEDIUM
Water meter glass cloudy and hard to read at property in Dumka.,Water Management,LOW
"Massive landslide and retaining wall collapse blocked state highway Circular Road, trapping vehicles under debris.",Urban Infrastructure,CRITICAL
Dangerous blind hairpin curve on ghat road Dumka has broken safety crash barriers and zero reflectors.,Transportation,HIGH
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Sahebganj.,Environment,MEDIUM
Scheduled municipal water tanker delayed by more than 24 hours in ward 11 of Ramgarh.,Water Management,MEDIUM
Leakage in water meter junction wasting thousands of liters daily outside house in Sahebganj.,Water Management,MEDIUM
Frequent sudden voltage spikes burning electronic LED appliances in colony Jamshedpur.,Energy,MEDIUM
Commercial shopping complex fire exits permanently chained shut and fire extinguisher cylinders expired in Lohardaga.,Public Safety,HIGH
"Solar street light battery backup discharged, light turning off by 10 PM in Simdega.",Energy,LOW
Dilapidated four-story abandoned factory on verge of immediate structural collapse near crowded marketplace in Dumka.,Public Safety,CRITICAL
Subsidized fertilizer (Urea and DAP) completely black-marketed and unavailable at government cooperative in Ranchi.,Agriculture,HIGH
"Unmanned railway level crossing with broken boom barrier, blind collision hazard on Industrial Area Road.",Transportation,CRITICAL
Street vegetable market causing minor pedestrian bottleneck on evening sidewalks in Sahebganj.,Public Safety,LOW
Dangerous blind hairpin curve on ghat road Godda has broken safety crash barriers and zero reflectors.,Transportation,HIGH
Request for seating benches in outdoor waiting shed of health center Saraikela.,Healthcare,LOW
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Pakur.",Environment,HIGH
"Drinking water tank in village school contaminated, dozens of children sick with food poisoning in Lohardaga.",Education,CRITICAL
Water filter unit at municipal dispensary in Garhwa requires urgent membrane replacement.,Water Management,MEDIUM
"Hazardous industrial gas leak from factory causing nausea, fainting, and breathing distress in surrounding village West Singhbhum.",Environment,CRITICAL
Illegal commercial timber logging and cutting of ancient Sal trees in protected forest zone of Ramgarh.,Environment,HIGH
"School boundary wall collapsed near railway line, exposing small children to high-speed trains in Lohardaga.",Education,CRITICAL
Shared auto drivers driving rashly on wrong side of highway and charging 3x metered fare in Lohardaga.,Transportation,MEDIUM
Open uncovered manhole on unlit road of Circular Road resulted in motorcycle rider falling in and suffering critical head injury.,Urban Infrastructure,CRITICAL
Leakage in water meter junction wasting thousands of liters daily outside house in Garhwa.,Water Management,MEDIUM
Public drinking fountain near park in Simdega has a slow leaky washer.,Water Management,LOW
"All streetlights on main ring road Bypass Highway non-functional for past 2 days, high accident danger.",Urban Infrastructure,HIGH
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Pakur.,Environment,CRITICAL
Slum settlement in Khunti experiencing severe hepatitis outbreak due to open sewage pools.,Sanitation,CRITICAL
"Highway flyover expansion joint widened by 6 inches, vibrating violently under vehicular movement in Bokaro.",Urban Infrastructure,CRITICAL
Pedestrian subway flooded with 5 feet of stormwater and live electrical wires submerged in water.,Urban Infrastructure,CRITICAL
Request for additional bus stop shelter along newly developed residential sector in Chatra.,Transportation,LOW
"Sinkhole formed suddenly in the middle of intersection near Chaibasa, engulfing front of a delivery truck.",Urban Infrastructure,CRITICAL
Septic tank leaked directly into municipal drinking water pipeline trench in Koderma.,Sanitation,CRITICAL
Water meter glass cloudy and hard to read at property in Chaibasa.,Water Management,LOW
Community public toilet complex locked and overflowing with feces in ward 10 of Koderma.,Sanitation,HIGH
Municipal sanitation sweepers have not visited colony Palamu for past 4 days.,Sanitation,MEDIUM
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Dhanbad.,Public Safety,HIGH
Frequent sudden voltage spikes burning electronic LED appliances in colony Bokaro.,Energy,MEDIUM
Request for seating benches in outdoor waiting shed of health center Deoghar.,Healthcare,LOW
"Night bus transport service discontinued abruptly, leaving female hospital workers unsafe in Hazaribagh.",Transportation,HIGH
Herd of wild boars and elephants destroying standing sugarcane crops nightly in farm belt Pakur.,Agriculture,HIGH
Organized cyber fraud gang duping illiterate rural elders of their pension funds under fake scheme in Koderma.,Public Safety,MEDIUM
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in West Singhbhum.,Transportation,MEDIUM
Water pressure in bathroom taps is very low on upper floors in apartment complex Saraikela.,Water Management,LOW
Clean drinking water dispenser not working in hospital OPD waiting lounge in Jamtara.,Healthcare,LOW
Commercial slaughterhouse dumping animal entrails and blood directly into open municipal drain in Giridih.,Sanitation,HIGH
Water smells strongly like foul drainage water and looks muddy black from municipal connection in Deoghar.,Water Management,HIGH
School computer lab equipment locked in boxes for 2 years without power connection in Sahebganj.,Education,MEDIUM
"Unmarked and unpainted speed breaker on Airport Road without reflectors, vehicles violently jumping.",Urban Infrastructure,MEDIUM
Fallen autumn leaves accumulated in street gutters in sector 18 of Dhanbad.,Sanitation,LOW
Water supply timing in Ramgarh changed abruptly to 2 AM without prior public notice.,Water Management,MEDIUM
Request for placing separate green and blue waste segregation bins in park at Sahebganj.,Sanitation,LOW
"Water supply in Jamshedpur restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
Request for tree plantation drive along newly expanded 4-lane avenue in Saraikela.,Environment,LOW
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Giridih.",Education,HIGH
Commercial shopping complex fire exits permanently chained shut and fire extinguisher cylinders expired in Ramgarh.,Public Safety,HIGH
Slight brownish discoloration noticed in morning tap water for past two days in West Singhbhum.,Water Management,LOW
Underground pipe leak causing clean drinking water to pool on the street near Airport Road.,Water Management,MEDIUM
School bus driver driving recklessly with overcrowded children on Market Square.,Education,MEDIUM
Deforestation and unmonitored hill cutting leading to soil erosion onto roads during monsoons in Jamtara.,Environment,MEDIUM
Public park green lawn dried up due to lack of municipal gardening staff in Pakur.,Environment,LOW
"Street dustbin missing lid, stray dogs scattering waste in Jamtara.",Sanitation,LOW
"Desks and benches broken, students forced to sit on damp concrete floor in school at Dhanbad.",Education,MEDIUM
Request for zebra crossing painting outside primary school gate in Bokaro.,Urban Infrastructure,LOW
Underground pipe leak causing clean drinking water to pool on the street near Industrial Area Road.,Water Management,MEDIUM
Severe shortage of water tankers in drought-prone block Ranchi despite multiple registered complaints.,Water Management,HIGH
Water storage reservoir wall cracked and threatening to submerge adjacent village Lohardaga.,Water Management,CRITICAL
Decorative street light poles in park Hazaribagh have missing decorative glass covers.,Urban Infrastructure,LOW
Pesticide dumping caused sudden death of thousands of fish in community lake at Sahebganj.,Environment,HIGH
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Ramgarh.,Education,CRITICAL
Pavement curbs need repainting in reflective yellow paint along College Road.,Urban Infrastructure,LOW
"Main municipal water pipeline exploded on Bypass Highway, flooding residential homes and cutting supply to 80 families.",Water Management,CRITICAL
Gang of anti-social youth eve-teasing and harassing female students daily outside coaching hub in Chaibasa.,Public Safety,HIGH
Water filter unit at municipal dispensary in Chatra requires urgent membrane replacement.,Water Management,MEDIUM
Decorative street light poles in park Hazaribagh have missing decorative glass covers.,Urban Infrastructure,LOW
"No electricity connection in rural school Gumla, children sitting in dark classrooms in 43°C summer.",Education,HIGH
State transport buses regularly skipping designated village bus stops in Simdega.,Transportation,MEDIUM
Loud music played after 10 PM during local marriage celebrations in sector 6 of Jamtara.,Public Safety,LOW
"Acute dengue and viral encephalitis outbreak claiming lives of children in Ramgarh, immediate medical team required.",Healthcare,CRITICAL
Overhead directional signage metal frame detached and swinging dangerously over traffic on Industrial Area Road.,Urban Infrastructure,HIGH
"School boundary wall collapsed near railway line, exposing small children to high-speed trains in Lohardaga.",Education,CRITICAL
Hospital blood bank has zero units of all blood groups during emergency accident influx in Deoghar.,Healthcare,CRITICAL
Public drinking fountain near park in Bokaro has a slow leaky washer.,Water Management,LOW
Request for training workshop on organic compost preparation in village Gumla.,Agriculture,LOW
"Dangerous potholes covering entire 5 km stretch of College Road, making emergency ambulance transit impossible.",Urban Infrastructure,HIGH
Agricultural extension officer not available on scheduled field visit day in Giridih.,Agriculture,LOW
Open uncovered manhole on unlit road of GT Road resulted in motorcycle rider falling in and suffering critical head injury.,Urban Infrastructure,CRITICAL
"Major highway bridge over river has developed structural cracks, concrete chunks falling into river near Jamshedpur.",Urban Infrastructure,CRITICAL
Minor paint flaking off classroom exterior walls in school at Chatra.,Education,LOW
"Drinking water tank in village school contaminated, dozens of children sick with food poisoning in Garhwa.",Education,CRITICAL
"Contractual teachers going on indefinite strike, leaving school completely shut for 15 days in Dumka.",Education,HIGH
Waiting area ceiling fans in health dispensary Jamtara making loud squeaking noise.,Healthcare,LOW
Request for additional story books and encyclopedia in village school library in Palamu.,Education,LOW
Public park green lawn dried up due to lack of municipal gardening staff in Godda.,Environment,LOW
Commercial slaughterhouse dumping animal entrails and blood directly into open municipal drain in Ramgarh.,Sanitation,HIGH
Shared auto drivers driving rashly on wrong side of highway and charging 3x metered fare in Deoghar.,Transportation,MEDIUM
Request for zebra crossing painting outside primary school gate in Hazaribagh.,Urban Infrastructure,LOW
Minor cracks appearing on walking promenade footpath in public park at Sahebganj.,Urban Infrastructure,LOW
Chemical chemical plant dumping toxic untreated red effluent directly into Subarnarekha river stream near Lohardaga.,Environment,CRITICAL
"Unmanned railway level crossing with broken boom barrier, blind collision hazard on Main Road.",Transportation,CRITICAL
Footbridge over railway tracks in Dumka has severely rusted corroded pillars shaking in wind.,Urban Infrastructure,HIGH
"Agricultural power transformer burned out, tube wells non-functional during peak irrigation in Ramgarh.",Agriculture,HIGH
Drinking water supply poisoned due to pesticide tank leakage near local water pump house.,Water Management,CRITICAL
Surgeon and anesthesiologist absent during critical trauma patient admission at civil hospital West Singhbhum.,Healthcare,CRITICAL
"Toxic chemical industrial waste dumped near community playground, emitting noxious fumes in Lohardaga.",Sanitation,CRITICAL
"Electricity bill received after the due date, incurring unjustified penalty charge in Deoghar.",Energy,LOW
Waiting area ceiling fans in health dispensary Chaibasa making loud squeaking noise.,Healthcare,LOW
Street signboards fallen down and lying in ditch near entrance of Jamtara.,Urban Infrastructure,MEDIUM
Bus timetable display screen broken at central bus stand in West Singhbhum.,Transportation,LOW
Illegal crude firecracker and explosives manufacturing operating in densely packed residential colony in Pakur.,Public Safety,CRITICAL
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Giridih.,Public Safety,CRITICAL
Continuous power blackout in civil hospital during emergency surgeries in Lohardaga.,Energy,CRITICAL
Deep construction trench left completely unbarricaded with zero warning hazard lamps on road in Palamu.,Public Safety,MEDIUM
Request for shifting electricity pole standing slightly inward on private driveway in Palamu.,Energy,LOW
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Godda.,Environment,MEDIUM
Unauthorized commercial advertising banners blocking driver visibility at road turning in Deoghar.,Public Safety,LOW
Decorative street light poles in park Lohardaga have missing decorative glass covers.,Urban Infrastructure,LOW
Water pressure in bathroom taps is very low on upper floors in apartment complex Dhanbad.,Water Management,LOW
Fallen autumn leaves accumulated in street gutters in sector 15 of Dhanbad.,Sanitation,LOW
Overloaded passenger boat capsized risk due to cracked hull at river crossing in Chatra.,Transportation,CRITICAL
"Stone crushing factories operating without water sprinklers, entire residential area enveloped in toxic silica dust in Chatra.",Environment,HIGH
Old transport truck emitting black smoke exhaust while idling at traffic stop in Koderma.,Environment,LOW
Bus timetable display screen broken at central bus stand in Sahebganj.,Transportation,LOW
"Electricity bill received after the due date, incurring unjustified penalty charge in Jamshedpur.",Energy,LOW
School bus driver driving recklessly with overcrowded children on Hospital Road.,Education,MEDIUM
Pesticide dumping caused sudden death of thousands of fish in community lake at Garhwa.,Environment,HIGH
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in Deoghar.",Agriculture,MEDIUM
Open uncovered manhole on unlit road of Main Road resulted in motorcycle rider falling in and suffering critical head injury.,Urban Infrastructure,CRITICAL
Water filter unit at municipal dispensary in Ramgarh requires urgent membrane replacement.,Water Management,MEDIUM
"Community water tap handle rusted and broken, water dripping continuously in Sahebganj.",Water Management,MEDIUM
Illegal booster pumps installed by several residents in Simdega causing zero water pressure in neighboring homes.,Water Management,MEDIUM
State transport buses regularly skipping designated village bus stops in Jamshedpur.,Transportation,MEDIUM
Clean drinking water dispenser not working in hospital OPD waiting lounge in West Singhbhum.,Healthcare,LOW
Requesting installation of an additional community water tap near the new bus stop in Dumka.,Water Management,LOW
Primary Health Centre in Ranchi has no medical doctor present for the past 21 days.,Healthcare,HIGH
Primary Health Centre in Garhwa has no medical doctor present for the past 2 days.,Healthcare,HIGH
Request for additional bus stop shelter along newly developed residential sector in Ranchi.,Transportation,LOW
"Illegal sand mining mafia using heavy dredging excavators, destroying river ecosystem and groundwater table at Jamtara.",Environment,CRITICAL
"Street dustbin missing lid, stray dogs scattering waste in Dhanbad.",Sanitation,LOW
"Solar street light battery backup discharged, light turning off by 10 PM in Simdega.",Energy,LOW
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Ramgarh.,Environment,CRITICAL
High voltage 11KV electrical wire snapped and lying alive on wet school pathway in Gumla.,Energy,CRITICAL
X-ray and Sonography machines at Community Health Centre Jamtara out of order for past 7 weeks.,Healthcare,HIGH
Loud music played after 10 PM during local marriage celebrations in sector 11 of Deoghar.,Public Safety,LOW
Water storage reservoir wall cracked and threatening to submerge adjacent village Chatra.,Water Management,CRITICAL
Electric wires tangled in tree branches causing sparks in wind near Hospital Road in Koderma.,Energy,MEDIUM
School bus driver driving recklessly with overcrowded children on Ring Road.,Education,MEDIUM
Water meter glass cloudy and hard to read at property in Godda.,Water Management,LOW
Water storage reservoir wall cracked and threatening to submerge adjacent village Deoghar.,Water Management,CRITICAL
Unattended human sewage overflowing on main road outside pediatric hospital in Chatra.,Sanitation,CRITICAL
Plastic waste and non-biodegradable thermocol clogging forest stream in tourist spot Gumla.,Environment,MEDIUM
Residential smart meter installation application pending for 3 months in Gumla.,Energy,LOW
Public dustbins in market area Giridih broken and overflowing with plastic bags.,Sanitation,MEDIUM
Public park green lawn dried up due to lack of municipal gardening staff in Chaibasa.,Environment,LOW
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Garhwa.",Energy,HIGH
Massive forest fire spreading uncontrolled toward tribal settlements and wildlife habitat in Chatra.,Environment,CRITICAL
Requesting installation of an additional community water tap near the new bus stop in Godda.,Water Management,LOW
Traffic signals at four-way junction on Ring Road blinking yellow continuously causing vehicle gridlocks.,Urban Infrastructure,MEDIUM
"Illegal sand mining mafia using heavy dredging excavators, destroying river ecosystem and groundwater table at Giridih.",Environment,CRITICAL
Massive forest fire spreading uncontrolled toward tribal settlements and wildlife habitat in West Singhbhum.,Environment,CRITICAL
Bus timetable display screen broken at central bus stand in Garhwa.,Transportation,LOW
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at Saraikela.",Agriculture,HIGH
Deep construction trench left completely unbarricaded with zero warning hazard lamps on road in Pakur.,Public Safety,MEDIUM
"Government bus service to rural block Palamu canceled without notice, college students stranded.",Transportation,HIGH
Waiting area ceiling fans in health dispensary Saraikela making loud squeaking noise.,Healthcare,LOW
Massive locust attack destroying standing wheat and mustard crops across 500 hectares in Simdega.,Agriculture,CRITICAL
"Night bus transport service discontinued abruptly, leaving female hospital workers unsafe in West Singhbhum.",Transportation,HIGH
"Open deep stone quarry pit filled with 40 feet of stagnant water without fencing, child drowned yesterday in Giridih.",Public Safety,CRITICAL
Cholera and severe gastroenteritis outbreak reported due to sewage mixing in drinking water pipelines in Hazaribagh.,Water Management,CRITICAL
Community public toilet complex locked and overflowing with feces in ward 3 of Godda.,Sanitation,HIGH
Agricultural extension officer not available on scheduled field visit day in Gumla.,Agriculture,LOW
"Government bus service to rural block Jamtara canceled without notice, college students stranded.",Transportation,HIGH
Open electrical feeder pillar box with live bare busbars standing unlocked outside children's park in Jamtara.,Energy,CRITICAL
"Main municipal water pipeline exploded on Industrial Area Road, flooding residential homes and cutting supply to 100 families.",Water Management,CRITICAL
"Pedestrian subway has zero lighting, non-functional CCTV, and zero police patrols, making it dangerous after dark in Chatra.",Public Safety,HIGH
"Dialysis unit machines broken down, chronic kidney patients turned away without treatment in Ranchi.",Healthcare,HIGH
Request for placing separate green and blue waste segregation bins in park at Lohardaga.,Sanitation,LOW
Chemical chemical plant dumping toxic untreated red effluent directly into Subarnarekha river stream near Koderma.,Environment,CRITICAL
Septic tank leaked directly into municipal drinking water pipeline trench in Pakur.,Sanitation,CRITICAL
Massive locust attack destroying standing wheat and mustard crops across 500 hectares in Lohardaga.,Agriculture,CRITICAL
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Giridih.",Agriculture,CRITICAL
Pedestrian subway flooded with 5 feet of stormwater and live electrical wires submerged in water.,Urban Infrastructure,CRITICAL
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at Hazaribagh.",Agriculture,HIGH
"Dangerous potholes covering entire 5 km stretch of Bypass Highway, making emergency ambulance transit impossible.",Urban Infrastructure,HIGH
"Sinkhole formed suddenly in the middle of intersection near Ranchi, engulfing front of a delivery truck.",Urban Infrastructure,CRITICAL
"Drinking water contaminated with industrial chemical waste, dozens hospitalized with severe poisoning in Jamshedpur.",Water Management,CRITICAL
Old multi-story commercial market balcony collapsed onto busy pedestrian footpath in Godda.,Urban Infrastructure,CRITICAL
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at Palamu.",Agriculture,HIGH
Arsenic and fluoride contamination in handpumps causing skeletal deformities in rural Ramgarh.,Water Management,CRITICAL
Request for seating benches in outdoor waiting shed of health center Godda.,Healthcare,LOW
Severe shortage of water tankers in drought-prone block Godda despite multiple registered complaints.,Water Management,HIGH
Public drinking fountain near park in Simdega has a slow leaky washer.,Water Management,LOW
Request for tree plantation drive along newly expanded 4-lane avenue in Hazaribagh.,Environment,LOW
Crater-sized deep pothole on fast lane of GT Road caused three consecutive car rollover accidents last night.,Urban Infrastructure,CRITICAL
Street name board in ward 8 of Chatra is rusted and illegible.,Urban Infrastructure,LOW
ICU backup oxygen cylinder supply failed during power cut in sub-divisional hospital Gumla.,Healthcare,CRITICAL
Request for training workshop on organic compost preparation in village Palamu.,Agriculture,LOW
Request for training workshop on organic compost preparation in village Jamshedpur.,Agriculture,LOW
Pack of aggressive rabid stray dogs attacked and mauled multiple senior citizens and children in Jamtara.,Public Safety,HIGH
Organized cyber fraud gang duping illiterate rural elders of their pension funds under fake scheme in Sahebganj.,Public Safety,MEDIUM
Streetlight junction box sparking loudly every evening during dusk in Jamshedpur.,Energy,MEDIUM
Open uncovered manhole on unlit road of Ring Road resulted in motorcycle rider falling in and suffering critical head injury.,Urban Infrastructure,CRITICAL
"Solar street light battery backup discharged, light turning off by 10 PM in Palamu.",Energy,LOW
Water smells strongly like foul drainage water and looks muddy black from municipal connection in Khunti.,Water Management,HIGH
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Khunti.",Energy,HIGH
"Highway flyover expansion joint widened by 6 inches, vibrating violently under vehicular movement in Palamu.",Urban Infrastructure,CRITICAL
"Distribution transformer caught fire and exploded, fire spreading toward adjacent residential huts in Dumka.",Energy,CRITICAL
"Government ambulance dial 108 helpline not answering, pregnant patient died en route in Dhanbad.",Healthcare,CRITICAL
Unscheduled power cuts lasting 12 to 16 hours daily in Chaibasa during peak summer heatwave.,Energy,HIGH
Continuous power blackout in civil hospital during emergency surgeries in Sahebganj.,Energy,CRITICAL
"Street dustbin missing lid, stray dogs scattering waste in Saraikela.",Sanitation,LOW
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Chatra.",Education,HIGH
Municipal sanitation sweepers have not visited colony Jamshedpur for past 15 days.,Sanitation,MEDIUM
"No tap water supply in Chaibasa for past 2 days, residents forced to purchase private tankers at huge rates.",Water Management,HIGH
"Community water tap handle rusted and broken, water dripping continuously in Garhwa.",Water Management,MEDIUM
State transport buses regularly skipping designated village bus stops in Gumla.,Transportation,MEDIUM
"Illegal sand mining mafia using heavy dredging excavators, destroying river ecosystem and groundwater table at Hazaribagh.",Environment,CRITICAL
Commercial shopping complex fire exits permanently chained shut and fire extinguisher cylinders expired in Ramgarh.,Public Safety,HIGH
Surgeon and anesthesiologist absent during critical trauma patient admission at civil hospital Khunti.,Healthcare,CRITICAL
Municipal sanitation sweepers have not visited colony Dumka for past 2 days.,Sanitation,MEDIUM
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in Jamshedpur.,Transportation,MEDIUM
Request for training workshop on organic compost preparation in village Dumka.,Agriculture,LOW
Minor cracks appearing on walking promenade footpath in public park at Godda.,Urban Infrastructure,LOW
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Ramgarh.",Environment,HIGH
Water pressure in bathroom taps is very low on upper floors in apartment complex Ramgarh.,Water Management,LOW
"Community water tap handle rusted and broken, water dripping continuously in Jamtara.",Water Management,MEDIUM
School bus driver driving recklessly with overcrowded children on Industrial Area Road.,Education,MEDIUM
Septic tank leaked directly into municipal drinking water pipeline trench in Godda.,Sanitation,CRITICAL
Old transport truck emitting black smoke exhaust while idling at traffic stop in Simdega.,Environment,LOW
Residential smart meter installation application pending for 3 months in Dumka.,Energy,LOW
"Contractual teachers going on indefinite strike, leaving school completely shut for 14 days in Jamtara.",Education,HIGH
Clean drinking water dispenser not working in hospital OPD waiting lounge in Palamu.,Healthcare,LOW
Illegal crude firecracker and explosives manufacturing operating in densely packed residential colony in Sahebganj.,Public Safety,CRITICAL
Request for zebra crossing painting outside primary school gate in Godda.,Urban Infrastructure,LOW
Sticker bills and posters defacing newly painted public sanitation facility in Ramgarh.,Sanitation,LOW
"Commercial private trucks parking illegally on both lanes of narrow highway Circular Road, causing daily fatal crashes.",Transportation,HIGH
Arsenic and fluoride contamination in handpumps causing skeletal deformities in rural Giridih.,Water Management,CRITICAL
Leakage in water meter junction wasting thousands of liters daily outside house in Dhanbad.,Water Management,MEDIUM
"Main storm drain culvert collapsed under truck weight, half the road completely severed in Garhwa.",Urban Infrastructure,HIGH
Abandoned scrap car left parked on colony street corner for 1 year in Chaibasa.,Public Safety,LOW
Plastic waste and non-biodegradable thermocol clogging forest stream in tourist spot Hazaribagh.,Environment,MEDIUM
Public dustbins in market area Ramgarh broken and overflowing with plastic bags.,Sanitation,MEDIUM
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Deoghar.,Education,CRITICAL
OPD registration counter has only one operator for over 400 patients daily in Deoghar.,Healthcare,MEDIUM
Hospital blood bank has zero units of all blood groups during emergency accident influx in Garhwa.,Healthcare,CRITICAL
"Road excavated for sewage pipeline 4 months ago left unpaved, mud and dust causing daily skidding in Sahebganj.",Urban Infrastructure,HIGH
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in Dhanbad.,Transportation,MEDIUM
Water supply timing in Palamu changed abruptly to 2 AM without prior public notice.,Water Management,MEDIUM
"Underground sewage trunk line choked, raw sewage water backflowing into hundreds of houses in Jamtara.",Sanitation,CRITICAL
Extreme overcrowding in city buses with passengers hanging precariously from footboards and window grills in West Singhbhum.,Transportation,HIGH
Slum settlement in Dumka experiencing severe hepatitis outbreak due to open sewage pools.,Sanitation,CRITICAL
Water smells strongly like foul drainage water and looks muddy black from municipal connection in Chaibasa.,Water Management,HIGH
Overgrown wild weeds and Congress grass causing seasonal pollen allergies in colony park Giridih.,Environment,LOW
"Complete groundwater depletion in Simdega, borewells pumping sand, emergency relief tankers urgently needed.",Water Management,CRITICAL
Severe shortage of water tankers in drought-prone block Lohardaga despite multiple registered complaints.,Water Management,HIGH
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Ranchi.",Energy,HIGH
Unscheduled power cuts lasting 12 to 16 hours daily in Ranchi during peak summer heatwave.,Energy,HIGH
Unattended human sewage overflowing on main road outside pediatric hospital in Godda.,Sanitation,CRITICAL
Electric wires tangled in tree branches causing sparks in wind near Bypass Highway in Palamu.,Energy,MEDIUM
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at Hazaribagh.",Agriculture,HIGH
"Pedestrian subway has zero lighting, non-functional CCTV, and zero police patrols, making it dangerous after dark in Garhwa.",Public Safety,HIGH
Dead animal carcass found decaying inside the community drinking water overhead tank in Lohardaga.,Water Management,CRITICAL
ICU backup oxygen cylinder supply failed during power cut in sub-divisional hospital Ranchi.,Healthcare,CRITICAL
State transport buses regularly skipping designated village bus stops in Simdega.,Transportation,MEDIUM
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Pakur.,Agriculture,CRITICAL
"Government bus service to rural block Bokaro canceled without notice, college students stranded.",Transportation,HIGH
Child immunization camp date postponed twice without notifying parents in West Singhbhum.,Healthcare,MEDIUM
Dangerous blind hairpin curve on ghat road Saraikela has broken safety crash barriers and zero reflectors.,Transportation,HIGH
Shared auto drivers driving rashly on wrong side of highway and charging 3x metered fare in Giridih.,Transportation,MEDIUM
Certified seeds provided at block development office had less than 20% germination rate in Lohardaga.,Agriculture,MEDIUM
"Stray cattle wandering on state highway Main Road, causing frequent motorcycle skids and collisions.",Public Safety,MEDIUM
Mosquito breeding epidemic in Chatra due to stagnant black sewage water in uncleaned open drains.,Sanitation,HIGH
"Mid-day meal served to schoolchildren contained dead lizard and worms, 20 pupils hospitalized in Saraikela.",Education,CRITICAL
"Solar street light battery backup discharged, light turning off by 10 PM in West Singhbhum.",Energy,LOW
"School bell system broken, manual gong being used in school Dumka.",Education,LOW
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Deoghar.,Environment,MEDIUM
"Community public RO purification plant in Saraikela broken down for 30 weeks, no technician attending.",Water Management,HIGH
"Dialysis unit machines broken down, chronic kidney patients turned away without treatment in Sahebganj.",Healthcare,HIGH
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Jamtara.,Sanitation,MEDIUM
Rainwater pooling at street corner due to faulty road gradient on Station Road in Godda.,Urban Infrastructure,MEDIUM
Farmer credit card passbook printer out of paper at rural bank branch Dhanbad.,Agriculture,LOW
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Dumka.,Education,CRITICAL
Request for tree plantation drive along newly expanded 4-lane avenue in Deoghar.,Environment,LOW
Government high school in Koderma has no math or science teacher for the entire academic year.,Education,HIGH
Dilapidated four-story abandoned factory on verge of immediate structural collapse near crowded marketplace in Palamu.,Public Safety,CRITICAL
"Distribution transformer caught fire and exploded, fire spreading toward adjacent residential huts in Khunti.",Energy,CRITICAL
Organized cyber fraud gang duping illiterate rural elders of their pension funds under fake scheme in Pakur.,Public Safety,MEDIUM
Request for training workshop on organic compost preparation in village Giridih.,Agriculture,LOW
Street name board in ward 25 of Pakur is rusted and illegible.,Urban Infrastructure,LOW
"No tap water supply in Chatra for past 21 days, residents forced to purchase private tankers at huge rates.",Water Management,HIGH
